Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:52,03-06-2026 17:10:14,"22,205s",PASSED
"setText(css(""#searchInput""), ""voo"")",Chrome 148.0.7778.179,,,03-06-2026 17:10:14,03-06-2026 17:10:14,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 17:10:14,03-06-2026 17:10:14,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 17:10:14,03-06-2026 17:10:14,"0,002s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 17:10:14,03-06-2026 17:10:15,"0,645s",PASSED
delay(2),Chrome 148.0.7778.179,,,03-06-2026 17:10:15,03-06-2026 17:10:17,"2,017s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:10:17,03-06-2026 17:10:17,"0,446s",PASSED
"verifyTextPresent(""voopoo"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:10:17,03-06-2026 17:10:18,"0,257s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:10:18,03-06-2026 17:10:18,"0,152s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_3,Chrome 148.0.7778.179,"Ricerca senza corrispondenze
Digita nel campo ricerca + verifica dropdown",,03-06-2026 17:10:18,03-06-2026 17:10:24,"6,616s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:10:18,03-06-2026 17:10:18,"0,747s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:10:18,03-06-2026 17:10:21,"2,256s",PASSED
"setText(css(""#searchInput""), ""zzz"")",Chrome 148.0.7778.179,,,03-06-2026 17:10:21,03-06-2026 17:10:21,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 17:10:21,03-06-2026 17:10:21,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 17:10:21,03-06-2026 17:10:21,"0,001s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 17:10:21,03-06-2026 17:10:21,"0,665s",PASSED
delay(2),Chrome 148.0.7778.179,,,03-06-2026 17:10:21,03-06-2026 17:10:23,"2,013s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:10:23,03-06-2026 17:10:24,"0,462s",PASSED
"verifyTextPresent(""Nessun risultato trovato"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:10:24,03-06-2026 17:10:24,"0,262s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:10:24,03-06-2026 17:10:24,"0,157s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_4,Chrome 148.0.7778.179,"Comportamento con campo di ricerca vuoto
Digita nel campo ricerca + verifica dropdown",,03-06-2026 17:10:24,03-06-2026 17:10:31,"7,103s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:10:24,03-06-2026 17:10:25,"0,784s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:10:25,03-06-2026 17:10:27,"2,005s",PASSED
"setText(css(""#searchInput""), ""kiwi"")",Chrome 148.0.7778.179,,,03-06-2026 17:10:27,03-06-2026 17:10:27,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 17:10:27,03-06-2026 17:10:27,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 17:10:27,03-06-2026 17:10:27,"0,001s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 17:10:27,03-06-2026 17:10:28,"0,718s",PASSED
delay(1),Chrome 148.0.7778.179,,,03-06-2026 17:10:28,03-06-2026 17:10:29,"1,003s",PASSED
"setText(css(""#searchInput""), """")",Chrome 148.0.7778.179,,,03-06-2026 17:10:29,03-06-2026 17:10:29,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 17:10:29,03-06-2026 17:10:29,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 17:10:29,03-06-2026 17:10:29,"0,001s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 17:10:29,03-06-2026 17:10:29,"0,591s",PASSED
delay(1),Chrome 148.0.7778.179,,,03-06-2026 17:10:29,03-06-2026 17:10:30,"1,017s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:10:30,03-06-2026 17:10:31,"0,485s",PASSED
"verifyTextNotPresent(""Nessun risultato trovato"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:10:31,03-06-2026 17:10:31,"0,293s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:10:31,03-06-2026 17:10:31,"0,155s",PASSED
